REGION,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
Fredericia,49463,49445,49507,49598,49690,49786,49841,49801,49849,49978,50091,50142,50104,50139,50193,50179,50193,50242,50293,50275,50374,50431,50358,50311,50324,50377,50390,50390,50429,50513,50585,50640,50689,50741,50844,50830,50868,50921,51023,51158,51326,51391,51460,51377,51427,51442,51417,51420
Haderslev,56414,56413,56447,56498,56508,56477,56424,56373,56346,56387,56312,56168,56117,56122,56116,56139,56188,56219,56290,56154,56051,56054,56042,55990,55906,55885,55971,55887,55888,55952,55999,56019,56029,56033,56082,56037,56045,56032,56009,55941,55963,55949,55927,55846,55857,55868,55829,55641
Kolding,87781,87996,88107,88332,88519,88651,88761,88961,89071,89160,89076,89117,89210,89185,89273,89412,89412,89523,89404,89484,89556,89559,89624,89960,90066,90257,90279,90656,90794,91025,90940,91530,91695,91791,91745,92361,92282,92409,92399,92491,92515,92589,92647,92709,92893,92970,93073,93282
Sønderborg,76913,76883,76919,76786,76793,76685,76647,76597,76439,76402,76377,76158,76193,76259,76298,76193,76094,76037,76055,75790,75732,75716,75653,75423,75264,75198,75221,74928,74937,74884,74878,74595,74737,74732,74804,74762,74801,74783,74785,74684,74650,74663,74773,74607,74561,74430,74353,74233
Tønder,40367,40365,40383,40301,40216,40105,40012,39791,39710,39693,39695,39506,39464,39446,39430,39130,39083,39043,39038,38754,38686,38590,38572,38282,38316,38234,38206,37965,38010,37973,38037,37905,37904,37972,37981,37861,37928,37913,37887,37727,37777,37719,37702,37621,37587,37543,37573,37398
Varde,50125,50236,50367,50407,50475,50415,50470,50377,50378,50422,50510,50327,50351,50355,50423,50192,50193,50156,50187,49963,49969,50040,50099,49890,49958,49991,50110,50054,50122,50123,50309,50207,50289,50377,50449,50422,50452,50518,50462,50324,50301,50253,50214,50135,50129,50170,50237,49949
Vejen,42447,42471,42604,42744,42807,42743,42759,42720,42768,42820,42849,42731,42683,42806,42801,42761,42785,42784,42812,42729,42700,42636,42704,42615,42667,42654,42748,42623,42601,42611,42789,42821,42869,42821,42945,42791,42822,42806,42875,42893,42844,42886,42901,42826,42863,42841,42776,42703
Vejle,104933,105157,105481,105565,105884,106066,106281,106309,106383,106603,106867,106972,107218,107346,107618,107831,108021,108186,108471,108625,108826,109137,109362,109458,109652,109737,110057,110271,110471,110764,111138,111420,111743,112151,112494,112947,113243,113404,113720,113978,114140,114191,114464,114594,114830,115025,115316,115614
Aabenraa,60189,60283,60427,60368,60392,60289,60230,60037,59978,59970,60025,59811,59795,59765,59795,59645,59600,59471,59430,59328,59208,59193,59197,58935,58970,58975,59048,58917,58904,58919,59011,58880,58869,59017,59077,59022,59003,59130,59172,59078,59089,59007,59055,58987,59035,59057,58914,58780
Region Midtjylland,1237041,1238683,1240576,1245355,1247732,1249162,1249892,1253479,1253998,1255106,1255876,1259970,1260993,1262115,1262704,1265601,1266682,1267828,1268406,1271223,1272510,1272929,1273814,1276604,1277538,1278840,1279467,1282250,1282750,1284877,1286679,1291643,1293309,1295584,1297738,1302897,1304253,1306202,1308253,1312985,1313596,1314898,1316368,1320570,1320678,1321790,1323137,1326913
Favrskov,45604,45703,45983,46064,46248,46243,46405,46448,46529,46590,46685,46831,46894,46922,47064,47103,47117,47147,47225,47146,47156,47030,47074,47051,47163,47177,47299,47339,47523,47559,47657,47541,47655,47715,47767,47884,47915,48005,48055,48194,48271,48245,48406,48281,48374,48320,48373,48404
Hedensted,45561,45649,45802,45968,45954,45921,46032,45997,45982,45934,46011,45984,45980,46031,46119,46086,46029,45989,45886,45877,45868,45781,45897,45791,45715,45788,45936,46008,46091,46193,46304,46243,46206,46238,46365,46466,46524,46587,46657,46646,46616,46634,46667,46689,46747,46654,46726,46685
Horsens,80102,80375,80599,80736,81565,81748,81479,81422,81957,82134,82215,82556,82835,83077,83051,83194,83598,83921,84133,84247,84871,85062,85132,85410,85662,85911,86083,86377,86361,86576,86770,87501,87736,88074,88353,88692,89030,89156,89205,89629,89598,89708,89927,90279,90370,90648,90961,91296
Norddjurs,38581,38522,38507,38469,38390,38283,38294,38204,38148,38119,38081,38037,38029,37939,37929,37890,37876,37872,38021,38092,38035,37986,38037,37918,37925,37839,37867,37933,37898,37922,38007,38163,38144,38040,38039,38151,38099,38097,38068,38180,38197,38001,37906,37806,37680,37613,37463,37360
Odder,21562,21563,21619,21615,21593,21568,21643,21697,21721,21759,21837,21856,21852,21838,21763,21810,21749,21758,21808,21844,21800,21848,21851,21799,21773,21806,21825,21838,21928,21915,21997,22078,22131,22176,22209,22255,22331,22392,22549,22595,22626,22616,22639,22624,22675,22696,22783,22854
Randers,93644,93803,93873,94101,94221,94456,94553,94694,94750,94828,94936,95262,95318,95402,95538,95609,95756,95776,95943,95919,96007,96035,96095,96171,96343,96559,96502,96757,96800,96882,97032,97225,97520,97579,97840,97864,98118,98123,98251,98185,98265,98117,98071,97910,97909,97898,98009,97886
Samsø,4085,4073,4068,4032,4003,4009,4055,4016,4010,3986,3968,3898,3885,3866,3905,3886,3889,3867,3874,3836,3806,3784,3804,3774,3767,3747,3768,3735,3733,3697,3709,3733,3710,3713,3753,3729,3724,3706,3732,3729,3720,3698,3705,3709,3684,3672,3689,3665
Silkeborg,87371,87586,87806,87860,88016,88189,88337,88367,88481,88513,88694,88734,88913,89050,89241,89207,89328,89329,89334,89281,89346,89417,89637,89514,89633,89707,89950,89860,90016,90241,90372,90381,90719,90882,91080,91066,91237,91265,91602,91853,92024,92169,92513,92786,93054,93340,93636,93782
